homograph,word acc,phone acc,stress acc,syl acc,count
TRANSPLANT,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,9
USE,0.9166666666666666,0.9166666666666666,1.0,1.0,24
DIFFUSE,1.0,1.0,1.0,1.0,10
EXPLOIT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
SOW,0.6666666666666666,0.6666666666666666,1.0,1.0,12
BOLOGNA,1.0,1.0,1.0,1.0,8
EXPOSE,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
EXPORT,1.0,1.0,1.0,1.0,14
ENTRANCE,1.0,1.0,1.0,1.0,10
BOW,0.5555555555555556,0.5555555555555556,1.0,1.0,9
IMPLEMENT,0.2222222222222222,0.2222222222222222,0.3333333333333333,1.0,9
CONDUCT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
REFUSE,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
WINDS,1.0,1.0,1.0,1.0,12
RETARD,1.0,1.0,1.0,1.0,6
CONVICT,1.0,1.0,1.0,1.0,9
CONTRACT,1.0,1.0,1.0,1.0,8
ADVOCATE,1.0,1.0,1.0,1.0,10
PRESENT,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,14
PERMIT,1.0,1.0,1.0,1.0,5
DISCOUNT,1.0,1.0,1.0,1.0,12
PERFUME,0.9,0.9,0.9,1.0,10
AUGUST,1.0,1.0,1.0,1.0,16
TEAR,0.8888888888888888,0.8888888888888888,1.0,1.0,9
SUBORDINATE,1.0,1.0,1.0,1.0,8
ATTRIBUTE,1.0,1.0,1.0,1.0,9
DISCHARGE,0.9166666666666666,1.0,0.9166666666666666,1.0,12
CONSORT,1.0,1.0,1.0,1.0,6
ALTERNATE,1.0,1.0,1.0,1.0,11
READ,0.5,0.5,1.0,1.0,16
RECOUNT,0.5714285714285714,0.8571428571428571,0.5714285714285714,1.0,7
COMPACT,1.0,1.0,1.0,1.0,8
APPROXIMATE,1.0,1.0,1.0,1.0,7
DESERT,1.0,1.0,1.0,1.0,11
MISUSE,1.0,1.0,1.0,1.0,7
EXCUSE,0.9,0.9,1.0,1.0,10
JESUS,1.0,1.0,1.0,1.0,9
INCLINE,0.875,0.875,1.0,1.0,8
ELABORATE,1.0,1.0,1.0,1.0,9
REFUND,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,6
PASTY,0.2222222222222222,0.2222222222222222,1.0,1.0,9
POSTULATE,0.8,0.8,1.0,1.0,10
CONVERSE,1.0,1.0,1.0,1.0,10
INSTRUMENT,1.0,1.0,1.0,1.0,8
ORNAMENT,1.0,1.0,1.0,1.0,9
BASS,0.09090909090909091,0.09090909090909091,1.0,1.0,11
DELEGATE,0.9,0.9,1.0,1.0,10
ABUSE,0.9,0.9,1.0,1.0,10
DOVE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
ANALYSES,0.0,0.0,0.0,1.0,9
POLISH,1.0,1.0,1.0,1.0,10
FREQUENT,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,12
MODERATE,1.0,1.0,1.0,1.0,10
DECREASE,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.0,11
LIVE,0.7692307692307693,0.7692307692307693,1.0,1.0,13
INCREASE,0.9090909090909091,1.0,0.9090909090909091,1.0,11
MOPED,0.0,0.0,0.0,0.0,7
INVERT,0.7142857142857143,1.0,0.7142857142857143,1.0,7
DELIBERATE,1.0,1.0,1.0,1.0,10
UPSET,1.0,1.0,1.0,1.0,10
PROTEST,1.0,1.0,1.0,1.0,8
CLOSE,1.0,1.0,1.0,1.0,9
CONSCRIPT,0.9,0.9,0.9,1.0,10
SAKE,0.4,0.4,0.4,0.4,10
REJECT,1.0,1.0,1.0,1.0,7
ASSOCIATE,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,11
ANIMATE,1.0,1.0,1.0,1.0,9
CONFINES,0.4,0.4,0.4,1.0,10
OVERTHROW,0.4,1.0,0.4,1.0,10
MOUTH,1.0,1.0,1.0,1.0,10
WOUND,0.5,0.5,1.0,1.0,8
PERVERT,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,7
DISCARD,1.0,1.0,1.0,1.0,10
ADDICT,1.0,1.0,1.0,1.0,10
CONTRAST,1.0,1.0,1.0,1.0,10
AGGREGATE,1.0,1.0,1.0,1.0,8
MOBILE,1.0,1.0,1.0,1.0,9
NESTLE,0.14285714285714285,0.14285714285714285,1.0,1.0,7
PRODUCE,1.0,1.0,1.0,1.0,13
OBJECT,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,14
DEVIATE,1.0,1.0,1.0,1.0,10
ABSTRACT,1.0,1.0,1.0,1.0,9
SUPPLEMENT,1.0,1.0,1.0,1.0,10
APPROPRIATE,1.0,1.0,1.0,1.0,11
SUSPECT,0.375,0.375,0.375,1.0,8
INVITE,0.7777777777777778,1.0,0.7777777777777778,1.0,9
SUBJECT,1.0,1.0,1.0,1.0,14
DEGENERATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
CELTIC,0.7777777777777778,0.7777777777777778,1.0,1.0,9
ESTIMATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
CONSTRUCT,1.0,1.0,1.0,1.0,10
INVALID,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
ROW,0.0,0.0,1.0,1.0,8
CORRELATE,0.8,0.8,1.0,1.0,10
TRANSFORM,0.8333333333333334,1.0,0.8333333333333334,1.0,6
ESCORT,0.625,0.625,0.625,1.0,8
CONTEST,1.0,1.0,1.0,1.0,10
INSULT,1.0,1.0,1.0,1.0,8
FRAGMENT,1.0,1.0,1.0,1.0,7
IMPLANT,0.09090909090909091,0.09090909090909091,1.0,1.0,11
USES,1.0,1.0,1.0,1.0,14
CONSOLE,0.1,0.1,0.1,1.0,10
AXES,0.5555555555555556,0.5555555555555556,1.0,1.0,9
COMPOUND,1.0,1.0,1.0,1.0,12
ARTICULATE,0.625,0.625,1.0,1.0,8
BLESSED,0.75,0.75,0.75,0.75,8
HOUSE,1.0,1.0,1.0,1.0,12
LEARNED,1.0,1.0,1.0,1.0,9
INITIATE,0.75,0.75,1.0,1.0,8
GRADUATE,0.875,0.875,0.875,0.875,8
